"filename","title","description","feature","topic","role","level"
"help/components/dimensions/site-section.md","Site section","The name of the site section.","","","",""
"help/components/dimensions/time-prior-to-event.md","Time prior to event","The amount of time between the metric and the first hit of the visit.","","","",""
"help/components/dimensions/time-spent-on-page.md","Time spent on page","The amount of time a visitor spent on the page.","","","",""
"help/components/dimensions/time-spent-per-visit.md","Time spent per visit","The total amount of time the visit took.","","","",""
"help/components/dimensions/tracking-code.md","Tracking Code","The name of the tracking code or campaign.","","","",""
"help/components/dimensions/tracking-opt-out-reason.md","Tracking opt-out reason","Indicates if cookies were disabled by a desktop or mobile browser.","","","",""
"help/components/dimensions/us-dma.md","US DMA","The designated market area of the hit.","","","",""
"help/components/dimensions/us-states.md","US states","The US state of the visitor.","","","",""
"help/components/dimensions/visit-depth.md","Visit depth","Visit-based dimension that reports the depth of the visit.","","","",""
"help/components/dimensions/visit-number.md","Visit number","The nth visit of the visitor.","","","",""
"help/components/dimensions/week.md","Week","The week that the metric occurred on.","","","",""
"help/components/dimensions/weekday-weekend.md","Weekday/Weekend","Determines if the hit happened during a weekday or a weekend.","","","",""
"help/components/dimensions/year.md","Year","The year that the metric occurred on.","","","",""
"help/components/dimensions/zip-code.md","Zip code","The zip code of the visitor.","","","",""
"help/components/metrics/overview.md","Metrics overview","View quantities of dimension items or data over time.","","","",""
"help/components/metrics/average-page-depth.md","Average page depth","How many pages in on average the dimension exists at.","","","",""
"help/components/metrics/average-page-views-per-visit.md","Average page views per visit","The average number of times a given dimension item appeared in a visit.","","","",""
"help/components/metrics/average-session-length.md","Average session length (mobile)","The average session length for the mobile device.","","","",""
"help/components/metrics/average-time-on-site.md","Average time  on site","The average amount of time a given dimension item existed between hits.","","","",""
"help/components/metrics/bounce-rate.md","Bounce rate","The ratio of visits with exactly one hit over entries.","","","",""
"help/components/metrics/bounces.md","Bounces","The number of visits with exactly one hit.","","","",""
"help/components/metrics/cart-additions.md","Cart additions","The number of hits where a visitor added a product to their cart.","","","",""
"help/components/metrics/cart-removals.md","Cart removals","The number of hits where a visitor removed a product from their cart.","","","",""
"help/components/metrics/cart-views.md","Cart views","The number of hits where a visitor viewed their cart.","","","",""
"help/components/metrics/carts.md","Carts","The number of hits where a visitor added their first product to a cart.","","","",""
"help/components/metrics/checkouts.md","Checkouts","The number of hits where a visitor started the checkout process.","","","",""
"help/components/metrics/content-velocity.md","Content Velocity","Content Velocity measures the impact of content on downstream content.","","","",""
"help/components/metrics/custom-events.md","Custom events","The number of hits where a custom event exists.","","","",""
"help/components/metrics/entries.md","Entries","An instance of the first value in a visit.","","","",""
"help/components/metrics/exits.md","Exits","An instance of the last value in a visit.","","","",""
"help/components/metrics/instances.md","Instances","The number of hits that a variable was set (and not persisted).","","","",""
"help/components/metrics/mobile-views.md","Mobile views","Decommissioned metric; no longer used.","","","",""
"help/components/metrics/new-engagements.md","New engagements","The number of times a first touch channel is set.","","","",""
"help/components/metrics/occurrences.md","Occurrences","The number of hits that a variable was set or persisted.","","","",""
"help/components/metrics/orders-per-visit.md","Orders per visit","The ratio of orders over visits.","","","",""
"help/components/metrics/orders.md","Orders","The number of purchases made.","","","",""
"help/components/metrics/page-events.md","Page events","The number of link tracking actions triggered.","","","",""
"help/components/metrics/page-views.md","Page Views Metric Explained | Adobe Analytics ","Learn how the page views metric is worked out in Adobe Analytics and also understand the difference between page views and visits.","","","",""
"help/components/metrics/pages-not-found.md","Pages not found","The number of hits containing an error.","","","",""
"help/components/metrics/people.md","People","The number of unique individuals, typically with multiple devices.","","","",""
"help/components/metrics/product-views.md","Product views","The number of views to product pages.","","","",""
"help/components/metrics/reloads.md","Reloads","The number of times the page was reloaded.","","","",""
"help/components/metrics/revenue.md","Revenue","The monetary amount of products purchased within all orders.","","","",""
"help/components/metrics/searches.md","Searches","The number of times a hit matched external search criteria.","","","",""
"help/components/metrics/single-access.md","Single access","The number of times a dimension item did not change in a visit.","","","",""
"help/components/metrics/single-page-visits.md","Single page visits","The number of times that the 'Page' dimension item did not change in a visit.","","","",""
"help/components/metrics/time-spent-per-visit.md","Time spent per visit","The amount of time spent per visit for the dimension item.","","","",""
"help/components/metrics/time-spent-per-visitor.md","Time spent per visitor (seconds)","The 'Time spent per visitor (seconds)' metric shows the average amount of time that visitors interact with a given dimension item during a visitor's entire lifetime.","","","",""
"help/components/metrics/time-spent.md","How Time Spent is calculated in Adobe Analytics","An aggregated page of time spent dimensions and metrics.","","","",""
"help/components/metrics/total-seconds-spent.md","Total seconds spent","The aggregated total number of seconds spent on the dimension item.","","","",""
"help/components/metrics/unique-devices.md","Unique devices","The number of unique devices.","","","",""
"help/components/metrics/unique-visitors.md","Unique visitors","The number of unique visitor ID's.","","","",""
"help/components/metrics/units.md","Units","The total number of products purchased within all orders.","","","",""
"help/components/metrics/visitors-with-ecid.md","Visitors with Experience Cloud ID","The number of unique visitors using the Adobe Experience Cloud ID service.","","","",""
"help/components/metrics/visits.md","Visits","A sequence of page views in a sitting.","","","",""
"help/components/segmentation/seg-home.md","Analytics segmentation","Adobe Analytics lets you build, manage, share, and apply powerful, focused audience segments to your reports using Analytics capabilities, the Adobe Experience Cloud, Adobe Target, and other integrated Adobe products.","","Segments","",""
"help/components/segmentation/seg-overview.md","About segments and containers","Segments allow you to identify subsets of visitors based on characteristics or website interactions. Segments are designed as codified audience insights that you can build for your specific needs, and then verify, edit, and share with other team members or use in other Adobe products and Analytics capabilities.","","Segments","",""
"help/components/segmentation/segmentation-in-analysis-workspace.md","Segmentation features in Analysis Workspace","Learn about segmentation features in Analysis Workspace.","","","",""
"help/components/segmentation/segmentation-workflow/seg-workflow.md","Segmentation workflow overview","Describes a suggested workflow for segments created with the Segment Builder and managed through the Segment Manager.","","Segments","",""
"help/components/segmentation/segmentation-workflow/seg-plan.md","Plan segments","Outlines the steps and best practices to follow when planning your segments.","","Segments","",""
"help/components/segmentation/segmentation-workflow/seg-build.md","Build segments","The Segment Builder provides a canvas to drag and drop Metric Dimensions, Segments, and Events to segment visitors based on container hierarchy logic, rules, and operators. This integrated development tool lets you build and save simple or complex segments that identify visitor attributes and actions across visits and page hits.","","Segments","",""
"help/components/segmentation/segmentation-workflow/seg-sequential-build.md","Build sequential segments","Sequential segments are created by using the THEN operator, instead of AND or OR. THEN implies that one segment criteria occurs, followed by another. By default, a sequential segment identifies all matching data, showing the filter ""Include Everyone"". Sequential segments can be further filtered to a subset of matching hits using the ""Only Before Sequence"" and ""Only After Sequence"" options.","","Segments","",""
"help/components/segmentation/segmentation-workflow/seg-tag.md","Tag segments","In the Segment Manager, tagging segments allows you to organize them.","","Segments","",""
"help/components/segmentation/segmentation-workflow/seg-approve.md","Approve segments","Within the Segment Manager you can set up a workflow that includes approving segments for various levels of application, for specific departments or groups, and consistent with reporting policies.","","Segments","",""
"help/components/segmentation/segmentation-workflow/t-seg-share.md","Share segments","Depending on your permissions, you can share segments with your whole organization, groups, or individual users.","","Segments","",""
"help/components/segmentation/segmentation-workflow/seg-publish.md","Publish segments to the Experience Cloud","Lets you use the segment for marketing activity in the Audience Library, Target, and Audience Manager.","","Segments","",""
"help/components/segmentation/segmentation-workflow/t-seg-apply.md","Select and apply segments","How to apply one or more segments to a report from the segment rail.","","Segments","",""
"help/components/segmentation/segmentation-workflow/t-seg-filter.md","Filter segments","Filter by tags, owners, and other filters (Show All, Mine, Shared With me, Favorites, and Approved.)","","Segments","",""
"help/components/segmentation/segmentation-workflow/t-seg-favorite.md","Mark segments as favorites","Marking segments as favorites is another way to organize them for ease of use.","","Segments","",""
"help/components/segmentation/segmentation-workflow/seg-delete.md","Delete segments","Lists a few considerations you should be aware of before deleting segments.","","Segments","",""
"help/components/segmentation/segmentation-workflow/seg-manage.md","Manage segments","The Segment Manager offers many ways of curating segments, such as sharing, filtering, tagging, approving, copying, deleting, and marking as favorites.","","Segments","",""
"help/components/segmentation/seg-reference/seg-operators.md","Comparison Operators for Segments","The Segment Builder allows you to compare and constrain values using selected operators.","","Segments","",""
"help/components/segmentation/seg-reference/seg-compatibility.md","Data Warehouse Segment Compatibility","Not all segments created in the Segment Builder are compatible with Data Warehouse. This table lists the supported functions.","","Segments","",""
"help/components/segmentation/seg-reference/seg-rights.md","Segment Rights by Role","Segment functionality now mostly differs between Admin-level users and non-Admins.","","Segments","",""
"help/components/segmentation/seg-reference/c-troubleshooting.md","Segmentation Troubleshooting","Troubleshoot and fix issues related to segments.","","","",""
"help/components/segmentation/seg-transition.md","Frequently Asked Questions","Frequently asked questions around segmentation.","","Segments","",""
"help/components/segmentation/best-practices.md","Segmentation best practices","Create optimal segments that return data efficiently.","","","",""
"help/components/c-calcmetrics/cm-overview.md","Calculated and Advanced Calculated (Derived) Metrics","Calculated and Advanced Calculated (or Derived) Metrics are custom metrics that you can create from existing metrics.","","","",""
"help/components/c-calcmetrics/cm-transition.md","Frequently Asked Questions","These changes to the way calculated metrics work in Analytics may impact you.","","","",""
"help/components/c-calcmetrics/cm-videos.md","How-to videos","These short videos (8 minutes or less) provide an overview of how to optimize the use of the Calculated Metric tools.","","","",""
"help/components/c-calcmetrics/c-workflow/cm-workflow/cm-workflow.md","Calculated metrics workflow","Learn about the steps to take for creating calculated metrics.","","","",""
"help/components/c-calcmetrics/c-workflow/cm-workflow/cm-finding.md","Find metrics","Describes the two main ways of finding your metrics  sorting and filtering.","","","",""
"help/components/c-calcmetrics/c-workflow/cm-workflow/c-build-metrics/cm-build-metrics.md","Build Metrics","The Calculated Metrics Builder provides a canvas to drag and drop Dimensions, Metrics, Segments, and Functions to create custom metrics based on container hierarchy logic, rules, and operators. This integrated development tool lets you build and save simple calculated metrics or complex advanced calculated metrics.","","","",""
"help/components/c-calcmetrics/c-workflow/cm-workflow/c-build-metrics/m-metric-type-alloc.md","Metric Type and Attribution","Learn about ","","","",""
"help/components/c-calcmetrics/c-workflow/cm-workflow/c-build-metrics/cm-pvv.md","Build a simple ""Page Views per Visits"" metric","Shows how to build a simple ""Page Views per Visits"" metric.","","","",""
"help/components/c-calcmetrics/c-workflow/cm-workflow/c-build-metrics/metrics-with-segments.md","Segmented metrics","Segmenting on individual metrics allows you to make metric comparisons within the same report. ","","","",""
"help/components/c-calcmetrics/c-workflow/cm-workflow/c-build-metrics/cm-stack-seg.md","Stack and replace segments","Shows how to stack and replace segments within the Calculated Metric Builder.","","","",""
"help/components/c-calcmetrics/c-workflow/cm-workflow/c-build-metrics/cm-weighted-metric.md","Filtered and weighted metrics","Shows examples of filtered and weighted metrics.","","","",""
"help/components/c-calcmetrics/c-workflow/cm-workflow/c-build-metrics/cm-orders-participation.md","Order Assists Metric","Explains how to create a metric that shows which Marketing Channels assist in driving orders. This can be adapted to any dimension or success event of interest.","","","",""
"help/components/c-calcmetrics/c-workflow/cm-workflow/c-build-metrics/cm-using-functions.md","Use functions","Functions let you filter/sort your data and do statistical analysis.","","","",""
"help/components/c-calcmetrics/c-workflow/cm-workflow/c-build-metrics/participation-metric.md","Participation Metric","With the Calculated Metric builder, anyone can create a participation metric.","","","",""
"help/components/c-calcmetrics/c-workflow/cm-workflow/cm-tagging.md","Tag calculated metrics","In the Calculated Metric Manager, tagging segments allows you to organize them.","","","",""
"help/components/c-calcmetrics/c-workflow/cm-workflow/cm-approving.md","Approve calculated metrics","Within the Calculated Metric Manager, you can set up a workflow that includes approving metrics for various levels of application and for specific departments or groups.","","","",""
"help/components/c-calcmetrics/c-workflow/cm-workflow/cm-sharing.md","Share calculated metrics","Depending on your permissions, you can share metrics with your whole organization, groups, or individual users.","","","",""
"help/components/c-calcmetrics/c-workflow/cm-workflow/cm-manager.md","Calculated Metric Manager","The Calculated Metric Manager offers many ways of curating metrics, such as sharing, filtering, tagging, approving, copying, deleting, and marking as favorites.","","","",""
"help/components/c-calcmetrics/cm-reference/cm-functions.md","Reference  basic functions","The Calculated Metrics Builder lets you apply statistical and mathematical functions to build Advanced Calculated Metrics.","","","",""
"help/components/c-calcmetrics/cm-reference/cm-adv-functions.md","Reference  advanced functions","Access these functions by checking Show Advanced in the Functions drop-down list.","","","",""
"help/components/c-calcmetrics/cm-compatibility.md","Metric compatibility","Explains the three Product Compatibility options.","","","",""
"help/components/c-calcmetrics/cm-role-based-rights.md","Calculated metrics  role-based rights","Calculated metrics rights differs between Admin-level users and non-Admins.","","","",""
"help/components/c-calcmetrics/cm-totals.md","Calculated metrics totals","Learn how calculated metrics totals differ in Analytics tools","","","",""
"help/components/vrs/vrs-about.md","Virtual report suites overview","Virtual report suites segment your Adobe Analytics data so you can control access to each segment.","","","",""
"help/components/vrs/vrs-components.md","Virtual Report Suite Component Curation","Virtual report suites can be curated to include and exclude components.in Analysis Workspace.","","","",""
"help/components/vrs/vrs-mobile-services.md","VRS support in Mobile Services","The Adobe Mobile Services UI combines mobile app data from your Adobe Analytics report suites with the ability to send push notifications and generate in-app messages.","","","",""
"help/components/vrs/vrs-mobile-visit-processing.md","Context-aware sessions","Context-aware sessions in virtual report suites change how Adobe Analytics calculates mobile visits. This article describes the processing implications of background hits and app launch events (both set by the mobile SDK) to how mobile visits are defined.","","","",""
"help/components/vrs/vrs-report-time-processing.md","Report time processing","Report time processing is a virtual report suite setting that allows data to be processed in a non-destructive, retroactive fashion.","","","",""
"help/components/vrs/vrs-faq.md","VRS FAQs","Tips and Best Practices for new users of virtual report suites.","","Reports and analytics","",""
"help/components/vrs/vrs-considerations.md","Virtual report suites and multi-suite tagging considerations","Virtual report suites and multi-suite tagging have different advantages. Learn which is best for your organization.","","Adobe Analytics","",""
"help/components/vrs/c-workflow-vrs/vrs-workflow.md","Virtual report suite workflow","An overview of the steps required to plan an implement virtual report suites.","","Reports and analytics","",""
"help/components/vrs/c-workflow-vrs/vrs-create.md","Create virtual report suites","Before you start creating virtual report suites, here are a few things to keep in mind.","","Reports and analytics","",""
"help/components/vrs/c-workflow-vrs/vrs-manage.md","Manage virtual report suites","The Virtual Report Suite Manager lets Administrators edit, add, tag, delete, rename, approve, copy, export, and filter virtual report suites. It is not visible to non-Admin users.","","Reports and analytics","",""
